OPENADMET_INCHIKEY,OPENADMET_CANONICAL_SMILES,logD
ADJYBFUZEWNGKF-HXUWFJFHSA-N,CN1CC(C#CC#CC2=CN3C(=O)N(CC[C@](C)(C(N)=O)S(C)(=O)=O)CC3=C2)C1,0.5
ADKIKFAIIOUYLJ-UHFFFAOYSA-N,COC1=CC=C(Cl)C=C1CN1C(=O)CSC2=CC=C(C(=O)NC3=NC(CC(=O)O)=CS3)C=C21,0.72
ADLAJVKSIHBUEZ-CZIWCDLHSA-N,C=C(C1=CC=C2C(=C1)CC(C)(C)C1=C(N)N=CN=C21)[C@H]1CC[C@H](N)CC1,1.6
ADLYBSSJKFIGDM-UHFFFAOYSA-N,CC1=CC=CC(C)=C1C1=CC=CC(COC2=CC=C(CCC(=O)O)C=C2)=C1,4.04
ADMTUTZDAMUJSX-PZQWHJIPSA-N,O[C@H]1C[C@H](CN2CC[C@H](C3=CC=C(F)C=C3Cl)[C@@H](O)C2)CCC2=CC=CN=C21,2.9
ADNIWBSZPSWJLD-UHFFFAOYSA-N,CC1(C)CCC2=C(C1)C(=O)C1=CC(Cl)=CC=C1N2,2.6
ADNXWAWAFKKIKS-UHFFFAOYSA-N,CC(=O)N1CCC(N2C=C(NC3=NC(OC4CCOCC4)=C4N=C(CC#N)C=CC4=N3)C=N2)CC1,1.2
ADOGGHZNEGBRNB-UHFFFAOYSA-N,CC(C)OC1=CC=CC2=C1N=C(NCC(F)F)NC2C,0.1
ADOWSVOCFBZXBB-UHFFFAOYSA-N,O=C(C1=CC=C(OC(F)(F)F)C(Cl)=C1)N1CC(OCC2=CC=C(S(=O)(=O)NC3=NC=NS3)C=C2)C1,1.3
ADQKWHMLZWYXPE-UHFFFAOYSA-N,CC(NC1=CC=C(F)C(Cl)=C1)C1=CC(C(=O)N(C)C)=CC2=C1OC(N1CCOCC1)=CC2=O,2.4
ADRBRBHCKFSIBL-MQTLVQSRSA-N,C[C@H](NP(=O)(OC[C@H]1O[C@@](C#N)(C2=CC=C3C(N)=NC=NN23)[C@](C)(O)[C@@H]1O)OC1=CC=CC=C1)C(=O)OCC(C)(C)C,2.3
